;pH;tur;DO;temp;veg;dep;canopy;conduc;hydro;area
PP3;7.07;0.66;2.26;18.93;30;0.35;30.3;0.01;per;139
PP4;6.85;0.33;2.78;20.53;0;0.33;32.1;0.01;per;223
AP1;6.64;0.4;4.09;15.26;5;3.5;42;0.0105;per;681
AP2;6.13;0.8;3.47;15.4;70;2.5;82;0.03;per;187
PP1;5.8;0.75;3.22;16.75;70;0.7;91.4;0.01;per;83
PP2;5.32;4;2.1;15.9;95;0.27;75.3;0.01;per;108
PT1;6.56;0;4.26;16.7;66;1.1;88;0.01;tem;226
PT2;5.37;1;2.19;16.2;75;0.34;94.8;0.008;tem;88
PT3;5.25;0;1.72;16.2;65;0.3;94.2;0.11;tem;29
BP9;6.3;10.75;3.82;15.95;100;0.24;81.2;0.02;per;30
BP2;4.77;5.25;1.45;14.45;90;0.4;0;0.01;per;601
BP4;6.01;7.5;2.4;17.62;80;0.23;3.5;0.01;per;279
PT5;6.55;5;0.19;21.5;5;0.47;94;0.03;tem;990
