id,reference_number,species_number,record,sampled_habitat,active_methods,passive_methods,complementary_methods,period,month_start,year_start,month_finish,year_finish,effort_months,country,state,state_abbreviation,municipality,site,latitude,longitude,coordinate_precision,altitude,temperature,precipitation
amp1001,1001,19,ab,"fo,ll",as,pt,NA,"mo,da,tw,ni",9,2000,1,2002,16,Brazil,Piauí,BR-PI,Canto do Buriti,Parque Nacional Serra das Confusões,-8.68,-43.42194444,gm,543,24.98,853
amp1002,1002,16,co,"fo,la,ll",as,pt,NA,"mo,da,tw,ni",12,2007,5,2009,17,Brazil,Ceará,BR-CE,São Gonçalo do Amarante,Dunas,-3.545527,-38.857833,dd,15,26.53,1318
amp1003,1002,14,co,"fo,la,ll",as,pt,NA,"mo,da,tw,ni",12,2007,5,2009,17,Brazil,Ceará,BR-CE,São Gonçalo do Amarante,Jardim Botânico Municipal de Bauru,-3.574194,-38.888694,dd,29,26.45,1248
amp1004,1002,13,co,"fo,la,ll",as,pt,NA,"mo,da,tw,ni",12,2007,5,2009,17,Brazil,Ceará,BR-CE,São Gonçalo do Amarante,Taíba,-3.51525,-38.918805,dd,25,26.55,1376
amp1005,1003,30,co,"fo,ll,br",as,NA,NA,"mo,da,ni",7,1988,8,2001,157,Brazil,Ceará,BR-CE,Baturité,Serra de Baturité,-4.280555556,-38.91083333,gm,750,21.35,1689
amp1006,1004,42,co,"tp,pp,la,ll,is",NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,Ceará,BR-CE,Quebrangulo,Reserva Biológica de Pedra Talhada,-9.229166667,-36.42805556,NA,745,20.45,1249
amp1007,1005,23,co,sp,as,NA,NA,NA,4,2007,4,2009,24,Brazil,Ceará,BR-CE,Ubajara,Planalto da Ibiapaba,-3.846111111,-40.89444444,gms,863,21.57,1520
amp1008,1005,19,co,"sp,la,sw","as,sb,tr",NA,NA,"tw,ni",4,2007,4,2009,24,Brazil,Ceará,BR-CE,Ubajara,Planalto da Ibiapaba,-3.825833333,-40.91944444,gms,878,21.47,1474
amp1009,1005,13,ab,fo,NA,pt,NA,"mo,da,tw,ni",4,2007,4,2009,24,Brazil,Ceará,BR-CE,Ubajara,Planalto da Ibiapaba,-3.8375,-40.91027778,gms,826,21.76,1450
amp1010,1006,1,ab,fo,NA,pt,NA,"mo,da,tw,ni",5,2011,7,2011,2,Brazil,Rio Grande do Norte,BR-RN,São José de Mipibu,Patch A,-6.136944444,-35.22944444,NA,93,25.4,1332
