id,order,superfamily,family,subfamily,genus,species,valid_name,individuals,endemic
amp1001,NA,NA,NA,NA,NA,Adenomera sp. n.,NA,25,NA
amp1001,Anura,NA,Hylidae,Lophyohylinae,Corythomantis,Corythomantis greeningi,Corythomantis greeningi,11,NA
amp1001,Anura,NA,Hylidae,Dendropsophinae,Dendropsophus,Dendropsophus soaresi,Dendropsophus soaresi,1,0
amp1001,Anura,NA,Microhylidae,Gastrophryninae,Dermatonotus,Dermatonotus muelleri,Dermatonotus muelleri,20,NA
amp1001,NA,NA,NA,NA,NA,Leptodactylus aff. syphax,NA,10,NA
amp1001,Anura,NA,Leptodactylidae,Leptodactylinae,Leptodactylus,Leptodactylus fuscus,Leptodactylus fuscus,2,0
amp1001,Anura,NA,Leptodactylidae,Leptodactylinae,Leptodactylus,Leptodactylus macrosternum,Leptodactylus macrosternum,3,0
amp1001,Anura,NA,Leptodactylidae,Leptodactylinae,Leptodactylus,Leptodactylus mystaceus,Leptodactylus mystaceus,9,0
amp1001,Anura,NA,Leptodactylidae,Leptodactylinae,Leptodactylus,Leptodactylus troglodytes,Leptodactylus troglodytes,32,0
amp1001,Anura,NA,Leptodactylidae,Leptodactylinae,Leptodactylus,Leptodactylus vastus,Leptodactylus vastus,5,0
amp1001,Anura,NA,Phyllomedusidae,NA,Pithecopus,Phyllomedusa nordestina,Pithecopus nordestinus,11,0
amp1001,Anura,NA,Leptodactylidae,Leiuperinae,Physalaemus,Physalaemus albifrons,Physalaemus albifrons,6,NA
amp1001,Anura,NA,Leptodactylidae,Leiuperinae,Physalaemus,Physalaemus cuvieri,Physalaemus cuvieri,59,0
amp1001,Anura,NA,Odontophrynidae,NA,Proceratophrys,Proceratophrys cristiceps,Proceratophrys cristiceps,19,0
amp1001,Anura,NA,Bufonidae,NA,Rhinella,Rhinella granulosa,Rhinella granulosa,18,0
amp1001,Anura,NA,Bufonidae,NA,Rhinella,Rhinella jimi,Rhinella jimi,4,0
amp1001,NA,NA,NA,NA,NA,Scinax gr. ruber,NA,7,NA
amp1001,NA,NA,NA,NA,NA,Scinax sp.,NA,1,NA
amp1001,Gymnophiona,NA,Siphonopidae,NA,Siphonops,Siphonops paulensis,Siphonops paulensis,2,0
amp1002,Anura,NA,Hylidae,Dendropsophinae,Dendropsophus,Dendropsophus microcephalus,Dendropsophus microcephalus,NA,NA
amp1002,Anura,NA,Hylidae,Dendropsophinae,Dendropsophus,Dendropsophus nanus,Dendropsophus nanus,NA,0
amp1002,Anura,NA,Microhylidae,Gastrophryninae,Elachistocleis,Elachistocleis piauiensis,Elachistocleis piauiensis,NA,NA
amp1002,Anura,NA,Hylidae,Cophomantinae,Boana,Hypsiboas raniceps,Boana raniceps,NA,0
amp1002,NA,NA,NA,NA,NA,Leptodactylus aff. hylaedactylus,NA,NA,NA
amp1002,Anura,NA,Leptodactylidae,Leptodactylinae,Leptodactylus,Leptodactylus fuscus,Leptodactylus fuscus,NA,0
amp1002,Anura,NA,Leptodactylidae,Leptodactylinae,Leptodactylus,Leptodactylus macrosternum,Leptodactylus macrosternum,NA,0
amp1002,Anura,NA,Leptodactylidae,Leptodactylinae,Leptodactylus,Leptodactylus mystaceus,Leptodactylus mystaceus,NA,0
amp1002,Anura,NA,Leptodactylidae,Leptodactylinae,Leptodactylus,Leptodactylus pustulatus,Leptodactylus pustulatus,NA,NA
amp1002,Anura,NA,Leptodactylidae,Leptodactylinae,Leptodactylus,Leptodactylus troglodytes,Leptodactylus troglodytes,NA,0
amp1002,Anura,NA,Leptodactylidae,Leiuperinae,Physalaemus,Physalaemus albifrons,Physalaemus albifrons,NA,NA
