"","riqueza","agua","long","lat"
"1",20,350.15,0.2,0.1
"2",23,434.81,1,0.1
"3",19,371.72,1.2,0.3
"4",23,360.5,1.4,0.5
"5",19,204.13,2.4,0.7
"6",21,311.55,1.8,0.9
"7",16,378.93,0.05,1.1
"8",21,266.78,2,1.3
"9",16,310.7,2,1.5
"10",19,220.73,1.2,1.7
"11",25,134.13,2.4,1.9
"12",19,405.91,0.2,2.1
"13",18,243.7,0.4,2.1
"14",23,239.51,2,2.3
"15",18,350.64,2.2,2.3
"16",17,321.87,0.05,2.7
"17",14,296.95,0.2,2.7
"18",18,276.44,2.2,2.7
"19",21,383.83,2.4,2.7
"20",20,145.68,1.2,2.9
"21",16,184.04,0.05,3.1
"22",14,185.89,1.4,3.1
"23",15,398.73,2.4,3.1
"24",13,291.59,0.2,3.5
"25",19,293.49,1.2,3.7
"26",17,488.55,0.8,3.9
"27",22,145.28,1.6,3.9
"28",18,354.56,0.2,4.1
"29",9,323.12,0.8,4.1
"30",21,403.32,1.8,4.5
"31",15,494.24,0.2,4.7
"32",16,284.27,1.4,4.7
"33",16,387.3,0.6,5.3
"34",21,367.11,1,5.3
"35",18,287.27,2.4,5.3
"36",18,418.01,1.4,5.5
"37",16,393.62,1.8,5.5
"38",14,528.44,0.4,5.9
"39",11,691.79,1,5.9
"40",12,398.2,1.8,5.9
"41",11,468.15,2,5.9
"42",10,386.37,0.05,6.1
"43",12,581,0.2,6.1
"44",5,708.16,0.4,6.1
"45",17,538.51,1.2,6.1
"46",16,451.45,1.6,6.1
"47",14,323.96,1.6,6.3
"48",12,506.86,0.4,6.5
"49",13,363.87,1.8,6.7
"50",11,434.28,0.6,6.9
"51",14,465.27,2,7.1
"52",12,588.28,0.05,7.3
"53",15,414.65,0.4,7.3
"54",8,530.51,1.4,7.5
"55",9,447.65,2.2,7.5
"56",11,532.88,0.2,7.9
"57",5,613.39,1.6,7.9
"58",11,353.39,2.4,7.9
"59",7,656.35,0.05,8.1
"60",12,465.8,1.2,8.1
"61",9,626.36,1.4,8.1
"62",6,634.75,2,8.1
"63",16,482.27,1.6,8.5
"64",13,434.96,1.6,8.7
"65",13,479.39,1,8.9
"66",14,514.85,1.6,8.9
"67",6,826.96,2.4,9.1
"68",13,590.11,2.2,9.3
"69",17,479.23,1.8,9.5
"70",15,517.36,0.4,9.7
